"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Delete a user test","chromium","2026-06-26","skipped","2026-06-26","","api/users.api.spec.ts","",""
"","2551","@smoke comp logo exists on product page","chromium","2026-06-26","passed","2026-06-26","","search.spec.ts","",""
"","0","create a user test","chromium","2026-06-26","skipped","2026-06-26","","api/users.api.spec.ts","",""
"","0","home page headers exist test @junesprint","chromium","2026-06-26","skipped","2026-06-26","","homepage.spec.ts","",""
"","288","@@regression mock search data api","chromium","2026-06-26","passed","2026-06-26","","api/intercept.spec.ts","",""
"","2348","@regression invalid login test with excel data -","chromium","2026-06-26","passed","2026-06-26","","loginpagefix.spec.ts","",""
"","2006","@smoke comp logo exists on product page","chromium","2026-06-26","passed","2026-06-26","","loginpagefix.spec.ts","",""
"","312","@regression POST API -- create a user","chromium","2026-06-26","passed","2026-06-26","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","1805","@regression DELETE - delete a user","chromium","2026-06-26","passed","2026-06-26","","api/users.api.indi.spec.ts","",""
"","2562","@smoke logout link exist test","chromium","2026-06-26","passed","2026-06-26","","homepagefix.spec.ts","",""
"","0","forgot pwd link exist test","chromium","2026-06-26","skipped","2026-06-26","","loginpage.spec.ts","",""
"","1548","@regression POST - create a user","chromium","2026-06-26","passed","2026-06-26","","api/users.api.indi.spec.ts","",""
"","308","@smoke GET -- get all users","chromium","2026-06-26","passed","2026-06-26","","api/users.api.schema.spec.ts","",""
"","1","@regression verify search results count - imac - iMac","chromium","2026-06-26","skipped","2026-06-26","","search.spec.ts","",""
"","2410","invalid login test with JSON data - wrong@open.com","chromium","2026-06-26","passed","2026-06-26","","loginpagefix.spec.ts","",""
"","0","@regression verify search results count - macbook - MacBook Air","chromium","2026-06-26","skipped","2026-06-26","","search.spec.ts","",""
"","2304","@smoke intercept and log requests","chromium","2026-06-26","passed","2026-06-26","","api/intercept.spec.ts","",""
"","305","@regression DELETE API -- Delete a user","chromium","2026-06-26","passed","2026-06-26","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","2024","@regression forgot pwd link exist test","chromium","2026-06-26","passed","2026-06-26","","loginpagefix.spec.ts","",""
"","317","@regression GET API -- get all users","chromium","2026-06-26","passed","2026-06-26","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","1","user is able to login to app test","chromium","2026-06-26","skipped","2026-06-26","","loginpage.spec.ts","",""
"","0","get user test","chromium","2026-06-26","skipped","2026-06-26","","api/users.api.spec.ts","",""
"","1303","@regression PUT - update a user","chromium","2026-06-26","passed","2026-06-26","","api/users.api.indi.spec.ts","",""
"","659","@smoke GET -- get a user","chromium","2026-06-26","passed","2026-06-26","","api/users.api.schema.spec.ts","",""
"","1","@regression invalid login test with - - pw1234","chromium","2026-06-26","skipped","2026-06-26","","loginpagefix.spec.ts","",""
"","1927","@smoke login page title test","chromium","2026-06-26","passed","2026-06-26","","loginpagefix.spec.ts","",""
"","3456","@regression login to app using wrong credentials with Data driven test","chromium","2026-06-26","passed","2026-06-26","","loginpagefix.spec.ts","",""
"","3821","@regression verify user is able to land on the product page - macbook - MacBook Air","chromium","2026-06-26","passed","2026-06-26","","search.spec.ts","",""
"","2661","@regression home page headers exist test","chromium","2026-06-26","passed","2026-06-26","","homepagefix.spec.ts","",""
